timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
0,STABILIZING,654,100137,0.00,81,138.9,99.6,472.1,318.7,6.0,,,0,,
1000,STABILIZING,655,99626,-434.65,81,138.9,99.6,472.1,318.7,6.0,,,0,,
2001,STABILIZING,654,99481,-474.02,81,138.9,99.6,472.1,318.7,6.0,,,0,,
3003,STABILIZING,654,99451,-512.73,81,138.9,99.6,472.1,318.7,6.0,,,0,,
4003,STABILIZING,654,99162,-671.89,81,138.9,99.6,472.1,318.7,6.0,,,0,,
5003,STABILIZING,654,99142,-490.83,81,138.9,99.6,472.1,318.7,6.0,,,0,,
6005,STABILIZING,655,98013,-1389.45,81,138.9,99.6,472.1,318.7,6.0,,,0,,
7007,STABILIZING,656,97940,-1160.98,81,138.9,99.6,472.1,318.7,6.0,,,0,,
8046,STABILIZING,657,98392,-472.70,81,138.9,99.6,472.1,318.7,6.0,,,0,,
9047,STABILIZING,657,98456,-176.52,81,138.9,99.6,472.1,318.7,6.0,,,0,,
10048,STABILIZING,656,98702,40.67,81,138.9,99.6,472.1,318.7,6.0,,,0,,
11048,STABILIZING,655,98241,-359.30,81,138.9,99.6,472.1,318.7,6.0,,,0,,
12049,STABILIZING,656,97679,-702.06,81,138.9,99.6,472.1,318.7,6.0,,,0,,
13052,STABILIZING,654,97822,-437.92,81,138.9,99.6,472.1,318.7,6.0,,,0,,
14052,STABILIZING,515,98912,826.49,81,138.9,99.6,472.1,318.7,6.0,,,0,,
15092,CALIBRATION,310,98876,595.74,81,138.9,99.6,472.1,318.7,6.0,,,0,,
16092,CALIBRATION,322,96753,-1192.44,81,138.9,99.6,472.1,318.7,6.0,,,0,,
17093,CALIBRATION,294,98758,656.51,81,138.9,99.6,472.1,318.7,6.0,,,0,,
18095,CALIBRATION,324,98586,302.75,81,138.9,99.6,472.1,318.7,6.0,,,0,,
19135,CALIBRATION,335,96653,-1506.64,81,138.9,99.6,472.1,318.7,6.0,,,0,,
20176,CALIBRATION,353,95891,-1785.38,81,138.9,99.6,472.1,318.7,6.0,,,0,,
21177,CALIBRATION,307,94578,-2642.73,81,138.9,99.6,472.1,318.7,6.0,,,0,,
22216,CALIBRATION,315,96957,68.89,81,138.9,99.6,472.1,318.7,6.0,,,0,,
23217,CALIBRATION,314,96229,-539.45,81,138.9,99.6,472.1,318.7,6.0,,,0,,
24217,CALIBRATION,321,96915,150.12,81,138.9,99.6,472.1,318.7,6.0,,,0,,
25219,CALIBRATION,353,95024,-1555.23,81,138.9,99.6,472.1,318.7,6.0,,,0,,
26219,CALIBRATION,358,94321,-1793.70,81,138.9,99.6,472.1,318.7,6.0,,,0,,
27222,CALIBRATION,384,99646,3303.98,81,138.9,99.6,472.1,318.7,6.0,,,0,,
28224,CALIBRATION,385,98728,1745.65,81,138.9,99.6,472.1,318.7,6.0,,,0,,
29261,CALIBRATION,365,98251,905.33,81,138.9,99.6,472.1,318.7,6.0,,,0,,
30264,CALIBRATION,359,98309,808.87,81,138.9,99.6,472.1,318.7,6.0,,,0,,
31303,CALIBRATION,349,97524,-38.29,81,138.9,99.6,472.1,318.7,6.0,,,0,,
32303,CALIBRATION,333,95667,-1894.88,81,138.9,99.6,472.1,318.7,6.0,,,0,,
33304,CALIBRATION,321,95956,-1283.30,81,138.9,99.6,472.1,318.7,6.0,,,0,,
34305,CALIBRATION,311,95970,-987.61,81,138.9,99.6,472.1,318.7,6.0,,,0,,
35306,CALIBRATION,317,97626,691.98,81,138.9,99.6,472.1,318.7,6.0,,,0,,
36307,CALIBRATION,352,98682,1442.06,84,82.2,57.6,472.1,318.7,6.0,,,0,,
37307,CALIBRATION,329,97512,146.87,84,75.1,62.1,472.1,318.7,6.0,,,0,,
38309,CALIBRATION,321,98195,747.40,84,70.5,59.4,472.1,318.7,6.0,,,0,,
39309,CALIBRATION,317,97500,3.08,86,72.9,62.8,472.1,318.7,6.0,,,0,,
40310,CALIBRATION,330,97154,-352.76,86,69.4,65.8,472.1,318.7,6.0,,,0,,
41311,CALIBRATION,325,96748,-613.98,86,69.4,65.8,472.1,318.7,6.0,,,0,,
42311,CALIBRATION,325,97655,314.15,86,69.4,65.8,472.1,318.7,6.0,,,0,,
