timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
0,STABILIZING,327,101371,0.00,,,,,,,,,0,,
1004,STABILIZING,403,99827,-1332.32,,,,,,,,,0,,
2006,STABILIZING,413,98691,-2002.85,,,,,,,,,0,,
3044,STABILIZING,426,98645,-1566.95,,,,,,,,,0,,
4045,STABILIZING,436,99291,-849.48,,,,,,,,,0,,
5046,STABILIZING,484,97943,-1818.43,,,,,,,,,0,,
6049,STABILIZING,466,97060,-2116.13,,,,,,,,,0,,
7087,STABILIZING,486,96480,-2100.46,,,,,,,,,0,,
8087,STABILIZING,471,96258,-1873.59,,,,,,,,,0,,
9089,STABILIZING,485,96559,-1258.30,,,,,,,,,0,,
10089,STABILIZING,488,96847,-746.45,,,,,,,,,0,,
11089,STABILIZING,473,96793,-614.73,,,,,,,,,0,,
12090,STABILIZING,459,96532,-737.21,,,,,,,,,0,,
13091,STABILIZING,448,97089,-134.84,,,,,,,,,0,,
14092,STABILIZING,477,98748,1387.59,,,,,,,,,0,,
15093,CALIBRATION,470,98516,907.55,,,,,,,,,0,,
16093,CALIBRATION,477,98260,555.45,,,,,,,,,0,,
17094,CALIBRATION,481,97943,216.68,,,,,,,,,0,,
18095,CALIBRATION,482,97702,-26.87,,,,,,,,,0,,
19097,CALIBRATION,482,97796,7.62,,,,,,,,,0,,
20097,CALIBRATION,481,98154,260.76,,,,,,,,,0,,
21097,CALIBRATION,474,97225,-697.97,,,,,,,,,0,,
22098,CALIBRATION,469,97434,-422.05,,,,,,,,,0,,
23099,CALIBRATION,471,97571,-265.09,,,,,,,,,0,,
24099,CALIBRATION,476,97447,-317.80,65,44.1,49.4,,,,,,0,,
25100,CALIBRATION,474,98246,511.12,65,44.0,47.7,,,,,,0,,
26101,CALIBRATION,476,98491,671.58,65,40.2,46.5,,,,,,0,,
27102,CALIBRATION,476,98647,767.25,66,39.8,45.6,,,,,,0,,
28103,CALIBRATION,474,98261,328.39,65,35.3,43.3,,,,,,0,,
