timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
0,STABILIZING,355,100605,0.00,,,,,,,,,0,,
1011,STABILIZING,343,96892,-3258.35,,,,,,,,,0,,
2012,STABILIZING,334,98216,-1489.66,,,,,,,,,0,,
3012,STABILIZING,338,96721,-2444.94,,,,,,,,,0,,
4013,STABILIZING,345,96494,-2144.27,,,,,,,,,0,,
5013,STABILIZING,339,96401,-1752.22,,,,,,,,,0,,
6014,STABILIZING,338,96874,-1146.09,,,,,,,,,0,,
7015,STABILIZING,337,97730,-101.70,,,,,,,,,0,,
8016,STABILIZING,331,100857,2645.48,,,,,,,,,0,,
9016,STABILIZING,325,101379,2469.77,,,,,,,,,0,,
10017,STABILIZING,320,100982,1554.99,,,,,,,,,0,,
11018,STABILIZING,320,100499,806.48,,,,,,,,,0,,
12019,STABILIZING,319,100425,511.09,,,,,,,,,0,,
13059,STABILIZING,322,100522,461.43,,,,,,,,,0,,
14059,STABILIZING,325,101245,1054.42,,,,,,,,,0,,
15061,CALIBRATION,330,101331,876.12,,,,,,,,,0,,
16103,CALIBRATION,323,100896,273.79,,,,,,,,,0,,
17143,CALIBRATION,327,101332,625.96,,,,,,,,,0,,
18182,CALIBRATION,321,100064,-644.41,,,,,,,,,0,,
19182,CALIBRATION,315,100101,-479.16,,,,,,,,,0,,
20183,CALIBRATION,322,100378,-135.22,,,,,,,,,0,,
21185,CALIBRATION,315,99632,-756.55,,,,,,,,,0,,
22224,CALIBRATION,313,99868,-386.15,,,,,,,,,0,,
23225,CALIBRATION,314,99977,-162.46,,,,,,,,,0,,
24225,CALIBRATION,312,100293,244.41,,,,,,,,,0,,
25227,CALIBRATION,314,99539,-443.12,,,,,,,,,0,,
26266,CALIBRATION,318,99200,-683.94,,,,,,,,,0,,
27269,CALIBRATION,313,99358,-394.73,,,,,,,,,0,,
28307,CALIBRATION,314,99634,-61.84,75,63.9,101.2,,,,,,0,,
29308,CALIBRATION,310,98777,-819.94,75,57.1,97.7,,,,,,0,,
30310,CALIBRATION,312,99447,-95.05,75,54.0,90.5,,,,,,0,,
31349,CALIBRATION,305,99570,127.16,76,56.2,85.2,,,,,,0,,
32351,CALIBRATION,304,99429,86.33,75,58.9,91.8,,,,,,0,,
33391,CALIBRATION,312,98525,-696.62,75,58.9,91.8,,,,,,0,,
34391,CALIBRATION,311,98545,-544.16,75,58.9,91.8,,,,,,0,,
35392,CALIBRATION,313,98589,-339.84,75,58.9,91.8,,,,,,0,,
36393,CALIBRATION,315,99209,356.34,75,58.9,91.8,,,,,,0,,
37393,CALIBRATION,313,98833,-14.90,75,54.6,84.0,,,,,,0,,
38394,CALIBRATION,308,98527,-336.35,76,85.2,105.8,,,,,,0,,
39396,CALIBRATION,302,98924,91.52,76,89.5,142.3,,,,,,0,,
40396,CALIBRATION,307,98741,1.43,75,84.6,140.2,,,,,,0,,
41396,CALIBRATION,323,97834,-810.35,75,81.9,136.1,,,,,,0,,
42399,CALIBRATION,310,97963,-625.46,75,80.2,132.4,,,,,,0,,
43437,CALIBRATION,311,98683,150.37,75,77.9,129.0,,,,,,0,,
44438,CALIBRATION,314,97735,-751.63,76,74.8,122.7,,,,,,0,,
45439,CALIBRATION,315,97462,-864.78,76,74.8,122.7,,,,,,0,,
46439,CALIBRATION,309,101177,2570.92,76,74.8,122.7,,,,,,0,,
47440,CALIBRATION,305,101395,2210.21,76,74.8,122.7,,,,,,0,,
48441,CALIBRATION,310,99461,-7.78,76,74.8,122.7,,,,,,0,,
49441,CALIBRATION,326,99024,-373.96,76,74.8,122.7,,,,,,0,,
50442,CALIBRATION,310,99421,140.45,76,74.8,122.7,,,,,,0,,
51443,CALIBRATION,359,102004,2589.29,76,74.8,122.7,,,,,,0,,
52444,CALIBRATION,418,103572,3418.21,76,74.8,122.7,,,,,,0,,
53446,CALIBRATION,403,103875,2995.03,76,74.8,122.7,,,,,,0,,
54446,CALIBRATION,383,102645,1222.21,76,74.8,122.7,,,,,,0,,
55446,CALIBRATION,356,100009,-1411.09,76,74.8,122.7,,,,,,0,,
56447,CALIBRATION,354,100305,-741.43,76,74.8,122.7,,,,,,0,,
57447,CALIBRATION,355,98826,-2015.77,76,74.8,122.7,,,,,,0,,
58448,CALIBRATION,347,98352,-2013.52,76,74.8,122.7,,,,,,0,,
59449,CALIBRATION,337,99026,-921.74,76,74.8,122.7,,,,,,0,,
60489,CALIBRATION,336,98211,-1344.31,76,74.8,122.7,,,,,,0,,
61489,CALIBRATION,346,99643,225.89,76,74.8,122.7,,,,,,0,,
62493,CALIBRATION,344,98541,-872.40,76,74.8,122.7,,,,,,0,,
63493,CALIBRATION,343,98527,-806.62,76,74.8,122.7,,,,,,0,,
64534,CALIBRATION,326,98444,-618.97,76,74.8,122.7,,,,,,0,,
65572,CALIBRATION,459,99501,594.30,76,74.8,122.7,,,,,,0,,
66574,CALIBRATION,357,100714,1457.70,76,74.8,122.7,,,,,,0,,
67574,CALIBRATION,336,100457,897.40,76,74.8,122.7,,,,,,0,,
68574,CALIBRATION,326,97700,-1603.69,76,74.8,122.7,,,,,,0,,
69575,CALIBRATION,335,98344,-671.23,76,74.8,122.7,,,,,,0,,
70575,CALIBRATION,337,97760,-1053.69,76,74.8,122.7,,,,,,0,,
71576,CALIBRATION,337,98700,8.74,76,74.8,122.7,,,,,,0,,
72577,CALIBRATION,346,99769,924.53,76,74.8,122.7,,,,,,0,,
73577,CALIBRATION,347,99265,265.87,76,74.8,122.7,,,,,,0,,
74578,CALIBRATION,343,99093,35.99,76,74.8,122.7,,,,,,0,,
75579,REST,333,99218,139.35,76,74.8,122.7,,,,-0.25,,0,,
76579,REST,337,98856,-249.92,76,74.8,122.7,,,,-0.25,,0,,
77580,REST,339,99245,140.94,76,74.8,122.7,,,,-0.25,,0,,
78581,REST,344,99374,235.27,76,74.7,120.1,,,,-0.17,,3,-0.17,Rest
