timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
36,STABILIZING,300,100197,61.38,75,124.5,172.2,,,,,,0,,
1037,STABILIZING,295,100106,-68.32,75,124.5,172.2,,,,,,0,,
2038,STABILIZING,290,100519,350.16,75,124.5,172.2,,,,,,0,,
3038,STABILIZING,293,99573,-515.82,75,124.5,172.2,,,,,,0,,
4039,STABILIZING,299,99457,-556.77,75,124.5,172.2,,,,,,0,,
5040,STABILIZING,301,99488,-424.62,75,124.5,172.2,,,,,,0,,
6041,STABILIZING,304,99883,9.95,75,124.5,172.2,,,,,,0,,
7041,STABILIZING,304,100409,533.36,75,124.5,172.2,,,,,,0,,
8042,STABILIZING,304,100654,736.62,75,124.5,172.2,,,,,,0,,
9043,STABILIZING,303,100385,405.62,75,124.5,172.2,,,,,,0,,
10044,STABILIZING,302,99573,-427.26,75,124.5,172.2,,,,,,0,,
11044,STABILIZING,298,99726,-279.44,75,124.5,172.2,,,,,,0,,
12045,STABILIZING,297,99806,-217.85,75,124.5,172.2,,,,,,0,,
13047,STABILIZING,293,99933,-96.91,75,124.5,172.2,,,,,,0,,
14047,STABILIZING,296,100370,331.66,75,124.5,172.2,,,,,,0,,
15048,CALIBRATION,296,100712,584.41,75,124.5,172.2,,,,,,0,,
16049,CALIBRATION,291,99392,-677.56,75,124.5,172.2,,,,,,0,,
17050,CALIBRATION,290,99873,-136.55,75,124.5,172.2,,,,,,0,,
18051,CALIBRATION,291,99490,-489.70,75,124.5,172.2,,,,,,0,,
19052,CALIBRATION,289,99546,-290.94,75,124.5,172.2,,,,,,0,,
20052,CALIBRATION,291,98930,-771.94,75,124.5,172.2,,,,,,0,,
21053,CALIBRATION,289,98887,-664.77,75,124.5,172.2,,,,,,0,,
22054,CALIBRATION,290,99435,-84.53,75,124.5,172.2,,,,,,0,,
23054,CALIBRATION,284,99848,362.82,75,124.5,172.2,,,,,,0,,
24056,CALIBRATION,283,99416,-58.96,75,124.5,172.2,,,,,,0,,
25057,CALIBRATION,287,99447,-39.95,75,124.5,172.2,,,,,,0,,
26096,CALIBRATION,279,98626,-856.08,75,124.5,172.2,,,,,,0,,
27098,CALIBRATION,272,98628,-669.95,75,124.5,172.2,,,,,,0,,
28099,CALIBRATION,270,98443,-611.91,75,124.5,172.2,,,,,,0,,
29099,CALIBRATION,266,98208,-622.34,75,124.5,172.2,,,,,,0,,
30099,CALIBRATION,265,97619,-1005.55,75,124.5,172.2,,,,,,0,,
31102,CALIBRATION,267,97855,-653.66,75,124.5,172.2,,,,,,0,,
32141,CALIBRATION,266,98250,-161.65,73,83.4,145.0,,,,,,0,,
33143,CALIBRATION,267,98808,422.63,73,75.2,131.0,,,,,,0,,
34147,CALIBRATION,265,98148,-222.17,73,64.5,112.6,,,,,,0,,
35184,CALIBRATION,260,97657,-660.32,73,60.6,105.4,,,,,,0,,
36185,CALIBRATION,257,98065,-241.48,72,59.8,100.2,,,,,,0,,
37186,CALIBRATION,250,98182,-94.94,72,56.9,95.8,,,,,,0,,
38186,CALIBRATION,248,98602,339.42,72,56.3,92.2,,,,,,0,,
39190,CALIBRATION,248,98979,709.55,72,53.9,89.1,,,,,,0,,
40228,CALIBRATION,251,97538,-676.09,72,50.1,82.6,,,,,,0,,
41230,CALIBRATION,253,97661,-500.02,72,49.2,80.4,,,,,,0,,
42230,CALIBRATION,272,98927,790.36,72,48.4,77.8,,,,,,0,,
43231,CALIBRATION,244,96737,-1341.80,72,47.5,75.5,,,,,,0,,
44231,CALIBRATION,244,97501,-417.27,72,47.5,75.5,,,,,,0,,
45233,CALIBRATION,238,98603,649.71,72,47.5,75.5,,,,,,0,,
46233,CALIBRATION,275,99614,1437.21,73,52.9,72.6,,,,,,0,,
47234,CALIBRATION,285,100120,1539.78,75,121.0,114.6,,,,,,0,,
48235,CALIBRATION,286,99205,321.30,75,121.0,114.6,,,,,,0,,
49237,CALIBRATION,281,99249,372.59,75,121.0,114.6,,,,,,0,,
50276,CALIBRATION,287,100628,1543.18,75,121.0,114.6,,,,,,0,,
51277,CALIBRATION,285,101415,1852.45,75,121.0,114.6,,,,,,0,,
52279,CALIBRATION,304,101338,1347.45,75,121.0,114.6,,,,,,0,,
53279,CALIBRATION,280,100574,416.00,75,121.0,114.6,,,,,,0,,
54279,CALIBRATION,278,99737,-367.68,75,121.0,114.6,,,,,,0,,
55280,CALIBRATION,272,99715,-251.55,75,121.0,114.6,,,,,,0,,
56281,CALIBRATION,265,98382,-1387.34,75,121.0,114.6,,,,,,0,,
57286,CALIBRATION,262,98842,-678.82,75,121.0,114.6,,,,,,0,,
58324,CALIBRATION,280,99685,83.89,75,121.0,114.6,,,,,,0,,
59364,CALIBRATION,280,98704,-783.52,75,121.0,114.6,,,,,,0,,
60364,CALIBRATION,276,98857,-457.33,75,121.0,114.6,,,,,,0,,
61365,CALIBRATION,274,99640,421.82,75,121.0,114.6,,,,,,0,,
62366,CALIBRATION,282,98512,-653.16,75,121.0,114.6,,,,,,0,,
63367,CALIBRATION,275,98821,-295.55,75,121.0,114.6,,,,,,0,,
64368,CALIBRATION,275,99284,189.77,75,121.0,114.6,,,,,,0,,
65369,CALIBRATION,271,98126,-896.34,75,121.0,114.6,,,,,,0,,
66370,CALIBRATION,266,98140,-716.14,75,121.0,114.6,,,,,,0,,
67371,CALIBRATION,255,98611,-105.46,75,121.0,114.6,,,,,,0,,
68372,CALIBRATION,256,99062,422.76,75,121.0,114.6,,,,,,0,,
69372,CALIBRATION,256,97666,-898.61,75,115.9,157.1,,,,,,0,,
70372,CALIBRATION,249,97590,-841.33,75,113.6,153.9,,,,,,0,,
71375,CALIBRATION,249,97908,-393.26,75,111.2,150.9,,,,,,0,,
72375,CALIBRATION,252,98313,126.02,75,109.0,147.9,,,,,,0,,
73375,CALIBRATION,258,97917,-177.34,75,105.1,142.6,,,,,,0,,
74379,CALIBRATION,254,98218,78.74,75,103.2,140.1,,,,,,0,,
75418,REST,264,98968,671.02,75,101.4,137.6,,,,-0.13,,3,-0.13,Rest
