timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,ppg_sdnn_z,ppg_rmssd_z,gsr_scl_z,gsr_scr_amp_z,gsr_scr_freq_z,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
0,STABILIZING,336,93085,0.00,,,,,,,,,,,,,,0,,
1009,STABILIZING,344,92106,-888.84,,,,,,,,,,,,,,0,,
2010,STABILIZING,346,92232,-541.48,,,,,,,,,,,,,,0,,
3011,STABILIZING,315,92194,-482.92,,,,,,,,,,,,,,0,,
4012,STABILIZING,310,91686,-827.80,,,,,,,,,,,,,,0,,
5052,STABILIZING,318,92294,-169.27,,,,,,,,,,,,,,0,,
6053,STABILIZING,324,92743,303.53,,,,,,,,,,,,,,0,,
7053,STABILIZING,330,92234,-168.19,,,,,,,,,,,,,,0,,
8055,STABILIZING,331,92071,-229.09,,,,,,,,,,,,,,0,,
9093,STABILIZING,331,91628,-413.29,,,,,,,,,,,,,,0,,
10094,STABILIZING,337,92220,278.70,,,,,,,,,,,,,,0,,
11095,STABILIZING,340,92190,191.48,,,,,,,,,,,,,,0,,
12135,STABILIZING,343,92447,373.30,,,,,,,,,,,,,,0,,
13137,STABILIZING,345,91710,-387.37,,,,,,,,,,,,,,0,,
14176,STABILIZING,347,91289,-785.11,,,,,,,,,,,,,,0,,
15177,CALIBRATION,349,92056,58.16,,,,,,,,,,,,,,0,,
16178,CALIBRATION,350,92284,312.09,,,,,,,,,,,,,,0,,
17179,CALIBRATION,351,91732,-265.20,,,,,,,,,,,,,,0,,
18179,CALIBRATION,353,91467,-387.29,,,,,,,,,,,,,,0,,
19219,CALIBRATION,355,91160,-623.13,,,,,,,,,,,,,,0,,
20219,CALIBRATION,356,91385,-328.26,,,,,,,,,,,,,,0,,
21221,CALIBRATION,361,91092,-565.95,,,,,,,,,,,,,,0,,
22260,CALIBRATION,360,91752,105.29,,,,,,,,,,,,,,0,,
23261,CALIBRATION,362,92083,406.45,,,,,,,,,,,,,,0,,
24262,CALIBRATION,366,92370,596.57,,,,,,,,,,,,,,0,,
25263,CALIBRATION,370,92100,210.14,119,64.3,65.4,,,,,,,,,,,0,,
26263,CALIBRATION,373,91546,-331.27,108,122.0,117.5,,,,,,,,,,,0,,
27264,CALIBRATION,378,90951,-831.29,108,122.0,117.5,,,,,,,,,,,0,,
28303,CALIBRATION,382,90952,-680.34,108,122.0,117.5,,,,,,,,,,,0,,
29304,CALIBRATION,384,91498,31.09,108,122.0,117.5,,,,,,,,,,,0,,
30306,CALIBRATION,390,92395,831.43,108,122.0,117.5,,,,,,,,,,,0,,
31345,CALIBRATION,391,92707,898.23,108,122.0,117.5,,,,,,,,,,,0,,
32346,CALIBRATION,393,91754,-77.60,108,122.0,117.5,,,,,,,,,,,0,,
33346,CALIBRATION,394,90089,-1531.20,108,122.0,117.5,,,,,,,,,,,0,,
34347,CALIBRATION,393,89596,-1633.16,108,122.0,117.5,,,,,,,,,,,0,,
35348,CALIBRATION,393,90628,-371.49,108,122.0,117.5,,,,,,,,,,,0,,
36348,CALIBRATION,398,90977,61.49,108,122.0,117.5,,,,,,,,,,,0,,
37349,CALIBRATION,399,91269,287.14,108,122.0,117.5,,,,,,,,,,,0,,
38350,CALIBRATION,400,91609,540.26,108,122.0,117.5,,,,,,,,,,,0,,
39351,CALIBRATION,403,91372,184.45,108,122.0,117.5,,,,,,,,,,,0,,
40352,CALIBRATION,407,91617,355.87,108,122.0,117.5,,,,,,,,,,,0,,
41391,CALIBRATION,412,91553,237.27,108,122.0,117.5,,,,,,,,,,,0,,
42392,CALIBRATION,416,91548,217.59,108,122.0,117.5,,,,,,,,,,,0,,
43393,CALIBRATION,419,91169,-242.87,108,122.0,117.5,,,,,,,,,,,0,,
44394,CALIBRATION,421,91513,76.04,108,122.0,117.5,,,,,,,,,,,0,,
45394,CALIBRATION,421,91543,109.53,108,122.0,117.5,,,,,,,,,,,0,,
46395,CALIBRATION,421,91485,63.87,108,122.0,117.5,,,,,,,,,,,0,,
47395,CALIBRATION,427,90980,-413.84,108,122.0,117.5,,,,,,,,,,,0,,
48396,CALIBRATION,436,85119,-5892.18,108,122.0,117.5,,,,,,,,,,,0,,
