timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
320,STABILIZING,313,98333,-334.51,74,43.8,40.9,570.8,158.1,28.0,,,0,,
1320,STABILIZING,435,98548,257.74,74,43.8,40.9,570.8,158.1,28.0,,,0,,
2321,STABILIZING,412,97823,-324.38,74,43.8,40.9,570.8,158.1,28.0,,,0,,
3322,STABILIZING,373,98523,453.58,74,43.8,40.9,570.8,158.1,28.0,,,0,,
4326,STABILIZING,317,97077,-995.12,74,43.8,40.9,570.8,158.1,28.0,,,0,,
5366,STABILIZING,318,95571,-2101.55,74,43.8,40.9,570.8,158.1,28.0,,,0,,
6405,STABILIZING,322,95625,-1606.13,74,43.8,40.9,570.8,158.1,28.0,,,0,,
7405,STABILIZING,320,97182,87.37,74,43.8,40.9,570.8,158.1,28.0,,,0,,
8407,STABILIZING,395,96710,-211.98,74,43.8,40.9,570.8,158.1,28.0,,,0,,
9407,STABILIZING,321,95300,-1387.99,74,43.8,40.9,570.8,158.1,28.0,,,0,,
10410,STABILIZING,322,95496,-996.27,74,43.8,40.9,570.8,158.1,28.0,,,0,,
11410,STABILIZING,364,95360,-995.39,74,43.8,40.9,570.8,158.1,28.0,,,0,,
12450,STABILIZING,464,97492,1153.74,74,43.8,40.9,570.8,158.1,28.0,,,0,,
13452,STABILIZING,331,96612,142.10,74,43.8,40.9,570.8,158.1,28.0,,,0,,
14492,STABILIZING,323,96964,477.05,74,43.8,40.9,570.8,158.1,28.0,,,0,,
15492,CALIBRATION,316,96463,-49.47,74,43.8,40.9,570.8,158.1,28.0,,,0,,
16493,CALIBRATION,315,96033,-268.37,74,43.8,40.9,570.8,158.1,28.0,,,0,,
17494,CALIBRATION,314,96258,-176.82,74,43.8,40.9,570.8,158.1,28.0,,,0,,
18494,CALIBRATION,316,96556,203.28,74,43.8,40.9,570.8,158.1,28.0,,,0,,
19495,CALIBRATION,317,95735,-560.58,74,43.8,40.9,570.8,158.1,28.0,,,0,,
20496,CALIBRATION,316,96525,167.25,74,43.8,40.9,570.8,158.1,28.0,,,0,,
21497,CALIBRATION,314,96838,344.45,74,43.8,40.9,570.8,158.1,28.0,,,0,,
22498,CALIBRATION,317,97055,430.14,74,43.8,40.9,570.8,158.1,28.0,,,0,,
23502,CALIBRATION,315,97641,815.67,74,43.8,40.9,570.8,158.1,28.0,,,0,,
24539,CALIBRATION,314,98199,1128.81,74,43.8,40.9,570.8,158.1,28.0,,,0,,
25540,CALIBRATION,316,97356,193.62,74,43.8,40.9,570.8,158.1,28.0,,,0,,
26541,CALIBRATION,311,97017,-186.23,74,43.8,40.9,570.8,158.1,28.0,,,0,,
27542,CALIBRATION,314,96736,-417.27,74,43.8,40.9,570.8,158.1,28.0,,,0,,
28543,CALIBRATION,313,96965,-113.37,74,43.8,40.9,570.8,158.1,28.0,,,0,,
29543,CALIBRATION,314,97325,276.49,74,43.8,40.9,570.8,158.1,28.0,,,0,,
30544,CALIBRATION,316,96617,-370.61,74,43.8,40.9,570.8,158.1,28.0,,,0,,
31545,CALIBRATION,317,96338,-487.98,74,43.8,40.9,570.8,158.1,28.0,,,0,,
32546,CALIBRATION,336,95993,-670.22,74,43.8,40.9,570.8,158.1,28.0,,,0,,
33547,CALIBRATION,348,95816,-640.33,74,43.8,40.9,570.8,158.1,28.0,,,0,,
34548,CALIBRATION,381,96574,155.80,74,43.8,40.9,570.8,158.1,28.0,,,0,,
35548,CALIBRATION,455,97019,542.73,74,43.8,40.9,570.8,158.1,28.0,,,0,,
36549,CALIBRATION,422,97222,648.05,74,288.0,294.5,570.8,158.1,28.0,,,0,,
37551,CALIBRATION,373,96941,308.22,74,288.0,294.5,570.8,158.1,28.0,,,0,,
38552,CALIBRATION,378,96409,-248.91,73,259.3,363.8,570.8,158.1,28.0,,,0,,
39553,CALIBRATION,370,96279,-391.64,72,239.7,332.5,570.8,158.1,28.0,,,0,,
40557,CALIBRATION,372,96088,-549.85,71,222.5,308.2,570.8,158.1,28.0,,,0,,
41595,CALIBRATION,362,95877,-628.74,71,208.6,288.3,570.8,158.1,28.0,,,0,,
42595,CALIBRATION,387,95626,-665.90,71,208.6,288.3,570.8,158.1,28.0,,,0,,
43596,CALIBRATION,325,94278,-1603.27,71,208.6,288.3,570.8,158.1,28.0,,,0,,
44596,CALIBRATION,318,94891,-689.24,71,208.6,288.3,570.8,158.1,28.0,,,0,,
45598,CALIBRATION,316,95544,92.20,71,208.6,288.3,570.8,158.1,28.0,,,0,,
46599,CALIBRATION,318,94537,-857.05,71,208.6,288.3,570.8,158.1,28.0,,,0,,
47599,CALIBRATION,320,93772,-1409.23,71,208.6,288.3,570.8,158.1,28.0,,,0,,
48600,CALIBRATION,321,93754,-1184.03,71,208.6,288.3,570.8,158.1,28.0,,,0,,
49601,CALIBRATION,322,93847,-924.52,71,208.6,288.3,570.8,158.1,28.0,,,0,,
50603,CALIBRATION,322,94129,-484.72,71,208.6,288.3,570.8,158.1,28.0,,,0,,
51604,CALIBRATION,320,94666,203.90,71,208.6,288.3,570.8,158.1,28.0,,,0,,
52605,CALIBRATION,313,96146,1558.32,71,208.6,288.3,570.8,158.1,28.0,,,0,,
53644,CALIBRATION,305,95819,937.42,71,208.6,288.3,570.8,158.1,28.0,,,0,,
54646,CALIBRATION,306,95564,411.55,71,208.6,288.3,570.8,158.1,28.0,,,0,,
55647,CALIBRATION,309,95882,522.47,71,208.6,288.3,570.8,158.1,28.0,,,0,,
56647,CALIBRATION,314,95950,513.92,71,208.6,288.3,570.8,158.1,28.0,,,0,,
57650,CALIBRATION,316,96188,759.91,71,208.6,288.3,570.8,158.1,28.0,,,0,,
58652,CALIBRATION,315,96640,1159.53,71,208.6,288.3,570.8,158.1,28.0,,,0,,
59690,CALIBRATION,309,96528,777.02,71,208.6,288.3,570.8,158.1,28.0,,,0,,
60691,CALIBRATION,313,96537,522.30,71,208.6,288.3,570.8,158.1,28.0,,,0,,
61693,CALIBRATION,314,96264,34.42,71,208.6,288.3,570.8,158.1,28.0,,,0,,
62695,CALIBRATION,309,96400,99.89,71,208.6,288.3,570.8,158.1,28.0,,,0,,
63733,CALIBRATION,305,96583,232.01,71,196.9,271.8,570.8,158.1,28.0,,,0,,
64736,CALIBRATION,305,97131,696.42,70,188.1,258.2,570.8,158.1,28.0,,,0,,
65775,CALIBRATION,306,97576,961.81,70,171.9,237.1,570.8,158.1,28.0,,,0,,
66776,CALIBRATION,304,96724,69.58,70,166.1,228.1,570.8,158.1,28.0,,,0,,
67777,CALIBRATION,308,96314,-378.05,69,160.8,219.8,570.8,158.1,28.0,,,0,,
68778,CALIBRATION,313,95936,-694.56,69,155.4,212.6,570.8,158.1,28.0,,,0,,
69780,CALIBRATION,311,96026,-531.85,69,150.5,205.9,570.8,158.1,28.0,,,0,,
70780,CALIBRATION,312,96374,-138.11,69,146.1,199.7,570.8,158.1,28.0,,,0,,
71781,CALIBRATION,313,96367,-84.14,69,142.1,194.3,570.8,158.1,28.0,,,0,,
72782,CALIBRATION,310,95712,-642.55,69,142.1,194.3,570.8,158.1,28.0,,,0,,
73783,CALIBRATION,307,95237,-990.36,69,138.4,189.1,570.8,158.1,28.0,,,0,,
74783,CALIBRATION,308,95586,-550.37,69,134.9,184.6,570.8,158.1,28.0,,,0,,
75784,REST,310,96185,93.94,70,132.4,181.0,570.8,158.1,28.0,0.04,,3,0.04,Rest
76786,REST,311,96474,372.02,69,129.4,177.6,570.8,158.1,28.0,0.05,,3,0.05,Rest
77786,REST,312,96491,360.23,69,128.1,174.5,570.8,158.1,28.0,0.04,,3,0.04,Rest
78790,REST,314,96050,-90.74,69,123.6,168.9,570.8,158.1,28.0,0.09,,3,0.09,Rest
79829,REST,368,95450,-615.87,70,122.9,165.8,570.8,158.1,28.0,0.14,,3,0.14,Rest
80829,REST,323,96017,47.63,70,122.0,162.7,570.8,158.1,28.0,0.19,,3,0.19,Rest
81830,REST,344,94386,-1444.10,70,124.3,160.5,570.8,158.1,28.0,0.24,,3,0.24,Rest
82831,REST,311,94470,-1052.09,70,124.3,160.5,570.8,158.1,28.0,0.24,,3,0.24,Rest
83833,REST,455,95329,38.66,70,124.3,160.5,570.8,158.1,28.0,0.24,,3,0.24,Rest
84833,REST,328,96530,1163.28,70,124.3,160.5,570.8,158.1,28.0,0.24,,3,0.24,Rest
85836,REST,584,97378,1615.74,71,122.5,159.3,570.8,158.1,28.0,0.27,,3,0.27,Rest
86875,REST,487,97476,1294.39,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
87876,REST,479,97695,1187.76,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
88877,REST,443,97696,965.36,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
89880,REST,585,97650,765.10,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
90918,REST,584,96785,-196.57,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
91921,REST,559,97395,337.34,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
92921,REST,533,97858,607.71,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
93921,REST,570,97516,141.01,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
94923,REST,492,97100,-194.10,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
95923,REST,376,97567,313.07,71,122.5,159.3,570.8,158.1,28.0,0.27,,0,,
