timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
0,STABILIZING,362,100704,0.00,,,,,,,,,0,,
1034,STABILIZING,311,96590,-3549.26,,,,,,,,,0,,
2034,STABILIZING,303,94503,-4420.23,,,,,,,,,0,,
3035,STABILIZING,305,95741,-2664.73,,,,,,,,,0,,
4035,STABILIZING,308,93346,-4429.08,,,,,,,,,0,,
5036,STABILIZING,308,97646,200.85,,,,,,,,,0,,
6036,STABILIZING,310,96116,-1122.05,,,,,,,,,0,,
7037,STABILIZING,299,97368,185.84,,,,,,,,,0,,
8038,STABILIZING,298,96801,-379.13,,,,,,,,,0,,
9038,STABILIZING,297,97230,116.10,,,,,,,,,0,,
10039,STABILIZING,300,96187,-730.93,,,,,,,,,0,,
11040,STABILIZING,302,96201,-572.06,,,,,,,,,0,,
12041,STABILIZING,303,96119,-558.15,,,,,,,,,0,,
13041,STABILIZING,302,95844,-691.41,,,,,,,,,0,,
14042,STABILIZING,305,95961,-443.50,,,,,,,,,0,,
15043,CALIBRATION,302,95866,-480.27,,,,,,,,,0,,
16043,CALIBRATION,302,94824,-1351.34,,,,,,,,,0,,
17045,CALIBRATION,307,94922,-969.73,,,,,,,,,0,,
18045,CALIBRATION,301,94851,-775.32,,,,,,,,,0,,
19045,CALIBRATION,294,93854,-1448.50,,,,,,,,,0,,
20046,CALIBRATION,292,93225,-1704.38,,,,,,,,,0,,
21047,CALIBRATION,299,95943,1188.80,,,,,,,,,0,,
22048,CALIBRATION,298,96035,909.65,,,,,,,,,0,,
23049,CALIBRATION,301,94505,-693.66,,,,,,,,,0,,
24049,CALIBRATION,306,94319,-644.02,,,,,,,,,0,,
25051,CALIBRATION,305,94061,-618.02,,,,,,,,,0,,
26051,CALIBRATION,303,93021,-1310.42,,,,,,,,,0,,
27051,CALIBRATION,308,94047,-398.77,,,,,,,,,0,,
28052,CALIBRATION,305,94024,-299.76,,,,,,,,,0,,
29055,CALIBRATION,312,97076,2721.30,,,,,,,,,0,,
30093,CALIBRATION,323,95984,891.39,,,,,,,,,0,,
31095,CALIBRATION,313,93971,-1062.11,,,,,,,,,0,,
32095,CALIBRATION,313,94254,-624.17,,,,,,,,,0,,
33095,CALIBRATION,341,97299,2112.73,,,,,,,,,0,,
34096,CALIBRATION,331,97001,1438.13,,,,,,,,,0,,
35099,CALIBRATION,322,95596,-106.88,,,,,,,,,0,,
36139,CALIBRATION,321,94494,-1142.40,,,,,,,,,0,,
37179,CALIBRATION,324,94591,-817.44,,,,,,,,,0,,
38179,CALIBRATION,322,95635,368.49,,,,,,,,,0,,
39180,CALIBRATION,322,95762,423.28,,,,,,,,,0,,
40180,CALIBRATION,320,95294,-117.61,,,,,,,,,0,,
41182,CALIBRATION,323,95573,64.81,,,,,,,,,0,,
42182,CALIBRATION,323,95669,116.06,,,,,,,,,0,,
43183,CALIBRATION,323,95634,95.58,,,,,,,,,0,,
44183,CALIBRATION,321,96071,561.13,,,,,,,,,0,,
45186,CALIBRATION,322,95714,90.88,82,209.1,342.7,,,,,,0,,
46224,CALIBRATION,319,95330,-341.21,81,189.2,306.6,,,,,,0,,
47226,CALIBRATION,318,95511,-83.45,80,174.2,279.9,,,,,,0,,
48226,CALIBRATION,321,95296,-136.23,79,164.5,259.5,,,,,,0,,
49226,CALIBRATION,323,94142,-1096.48,79,164.5,259.5,,,,,,0,,
50227,CALIBRATION,325,93314,-1669.60,79,164.5,259.5,,,,,,0,,
51228,CALIBRATION,322,93827,-952.63,79,164.5,259.5,,,,,,0,,
52228,CALIBRATION,324,93818,-813.01,79,164.5,259.5,,,,,,0,,
53229,CALIBRATION,327,93163,-1270.53,78,159.1,243.2,,,,,,0,,
54230,CALIBRATION,328,93597,-525.84,78,159.1,243.2,,,,,,0,,
55230,CALIBRATION,319,96439,2317.34,78,159.1,243.2,,,,,,0,,
56231,CALIBRATION,319,94876,373.98,83,210.5,298.9,,,,,,0,,
57232,CALIBRATION,319,93470,-1056.76,83,210.5,298.9,,,,,,0,,
58233,CALIBRATION,323,92666,-1611.95,83,210.5,298.9,,,,,,0,,
59233,CALIBRATION,324,92903,-969.40,83,210.5,298.9,,,,,,0,,
60234,CALIBRATION,322,93543,-95.84,83,210.5,298.9,,,,,,0,,
61235,CALIBRATION,326,93848,321.21,83,210.5,298.9,,,,,,0,,
62236,CALIBRATION,326,96201,2482.73,83,210.5,298.9,,,,,,0,,
63236,CALIBRATION,328,94944,727.37,83,210.5,298.9,,,,,,0,,
64237,CALIBRATION,324,93892,-500.51,83,210.5,298.9,,,,,,0,,
65239,CALIBRATION,323,93159,-1103.67,83,210.5,298.9,,,,,,0,,
66241,CALIBRATION,326,93335,-702.60,83,210.5,298.9,,,,,,0,,
67279,CALIBRATION,326,95120,1072.30,83,210.5,298.9,,,,,,0,,
68281,CALIBRATION,325,94102,48.52,83,210.5,298.9,,,,,,0,,
69282,CALIBRATION,324,93524,-628.23,83,210.5,298.9,,,,,,0,,
70282,CALIBRATION,321,92972,-1181.59,83,210.5,298.9,,,,,,0,,
71283,CALIBRATION,323,93651,-191.52,83,210.5,298.9,,,,,,0,,
72283,CALIBRATION,307,92222,-1473.52,83,210.5,298.9,,,,,,0,,
73284,CALIBRATION,298,94049,325.39,83,210.5,298.9,,,,,,0,,
74288,CALIBRATION,303,94071,375.31,82,199.9,317.5,,,,,,0,,
75326,REST,306,93842,-72.23,82,190.8,302.7,,,,-0.03,,3,-0.03,Rest
76327,REST,310,93620,-164.09,83,188.8,295.5,,,,0.24,,3,0.24,Rest
77327,REST,310,94954,898.52,83,188.8,295.5,,,,0.24,,3,0.24,Rest
78328,REST,311,95178,817.14,83,181.4,287.3,,,,0.45,,3,0.45,Rest
79329,REST,310,96217,1634.19,83,175.1,277.1,,,,0.63,,3,0.63,Rest
80331,REST,308,94065,-547.91,82,165.1,259.5,,,,0.90,,3,0.90,Rest
81331,REST,310,94284,-276.86,83,160.6,252.6,,,,1.08,,3,1.08,Stress
82370,REST,307,94735,267.76,82,156.9,247.1,,,,1.15,,3,1.15,Stress
83372,REST,309,93253,-1063.61,82,153.5,240.5,,,,1.24,,3,1.24,Stress
84373,REST,308,94048,-165.84,82,153.5,240.5,,,,1.24,,0,,
85374,REST,307,92662,-1377.64,82,153.5,240.5,,,,1.24,,0,,
86375,REST,307,92593,-1116.69,82,153.5,240.5,,,,1.24,,0,,
87375,REST,309,93787,212.73,82,153.5,240.5,,,,1.24,,0,,
88378,REST,311,93758,132.02,82,153.5,240.5,,,,1.24,,0,,
89416,REST,314,95123,1297.95,82,153.5,240.5,,,,1.24,,0,,
90419,REST,316,98006,3708.91,82,153.5,240.5,,,,1.24,,0,,
91457,REST,321,98098,2894.53,82,153.5,240.5,,,,1.24,,0,,
92458,REST,318,97282,1518.19,82,153.5,240.5,,,,1.24,,0,,
93459,REST,316,97345,1247.05,82,153.5,240.5,,,,1.24,,0,,
94459,REST,320,97219,910.18,82,153.5,240.5,,,,1.24,,0,,
95460,REST,321,95516,-803.06,82,153.5,240.5,,,,1.24,,0,,
96461,REST,322,95097,-1060.95,82,153.5,240.5,,,,1.24,,0,,
97463,REST,323,95474,-482.40,82,153.5,240.5,,,,1.24,,0,,
98463,REST,320,93835,-1862.55,82,153.5,240.5,,,,1.24,,0,,
99463,REST,332,95241,-306.05,82,153.5,240.5,,,,1.24,,0,,
100464,REST,332,94896,-690.34,82,153.5,240.5,,,,1.24,,0,,
101464,REST,331,95123,-390.62,82,153.5,240.5,,,,1.24,,0,,
102465,REST,332,95886,416.33,82,153.5,240.5,,,,1.24,,0,,
103466,REST,334,95958,436.91,82,153.5,240.5,,,,1.24,,0,,
104466,REST,332,98047,2236.63,82,153.5,240.5,,,,1.24,,0,,
105467,REST,333,95752,-291.36,83,154.4,240.4,,,,1.33,,3,1.33,Stress
106468,REST,324,95741,-340.92,82,154.3,244.9,,,,1.19,,3,1.19,Stress
107469,REST,329,96976,766.52,81,152.4,239.4,,,,1.22,,3,1.22,Stress
108470,REST,326,98587,1922.90,81,150.6,234.2,,,,1.26,,0,,
109470,REST,324,98012,1013.80,81,150.6,234.2,,,,1.26,,0,,
110471,REST,325,97564,439.81,81,150.6,234.2,,,,1.26,,0,,
111472,REST,329,96941,-101.57,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
112473,REST,329,96428,-497.23,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
113474,REST,330,96636,-251.05,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
114475,REST,332,96386,-484.83,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
115476,REST,333,96701,-121.20,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
116477,REST,324,98321,1246.36,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
117477,REST,327,98241,965.19,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
118479,REST,326,98217,786.22,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
119483,REST,328,97310,-168.97,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
120520,REST,324,96862,-546.77,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
121521,REST,324,97508,156.23,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
122521,REST,321,98497,956.04,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
123522,REST,319,97207,-390.21,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
124524,REST,320,96321,-1110.99,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
125525,REST,321,97061,-229.22,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
126525,REST,321,97350,82.35,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
127525,REST,318,97877,588.87,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
128525,REST,320,97301,-26.93,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
129527,REST,320,97130,-225.37,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
130527,REST,317,96750,-550.32,81,150.6,234.2,706.8,0.0,0.0,1.26,-0.09,1,,
131528,REST,316,97330,53.20,80,150.0,229.4,706.8,0.0,0.0,1.25,-0.09,4,0.92,Rest
