time_ms,mode,ir_raw,filtered_ppg,ibi_ms,valid_ibi_ms,mean_hr,sdnn,rmssd,baseline_mean_hr_mean,baseline_mean_hr_std,baseline_sdnn_mean,baseline_sdnn_std,baseline_rmssd_mean,baseline_rmssd_std,ibi_count,baseline_count,no_finger_count,pc_elapsed_sec,analysis_mode,time_sec
37060,CALIBRATION,27647,34.7594,801.0,,95.35,38.33,61.94,94.58,0.63,41.17,2.84,69.8,6.48,18,451,0,0.0,BASELINE,37.06
38061,CALIBRATION,27730,38.0711,641.0,641.0,95.18,36.42,59.34,94.62,0.63,40.97,2.89,69.33,6.62,20,476,0,0.0,BASELINE,38.061
39061,CALIBRATION,27714,-29.7676,560.0,560.0,95.69,38.68,60.61,94.66,0.65,40.81,2.92,68.87,6.76,21,501,0,0.04,BASELINE,39.061
40062,CALIBRATION,27589,-100.8636,560.0,560.0,95.69,38.68,60.61,94.71,0.67,40.71,2.88,68.48,6.83,21,526,0,1.04,BASELINE,40.062
41063,CALIBRATION,27629,76.5723,1921.0,,95.69,38.68,60.61,94.75,0.68,40.62,2.85,68.12,6.87,21,551,0,2.04,BASELINE,41.063
42064,CALIBRATION,27595,-57.2128,313.0,,95.27,39.93,65.41,94.78,0.68,40.59,2.79,68.0,6.74,22,576,0,3.05,BASELINE,42.064
43064,CALIBRATION,27575,-0.9122,1561.0,,95.27,39.93,65.41,94.8,0.67,40.56,2.73,67.9,6.62,22,601,0,4.05,BASELINE,43.064
44065,CALIBRATION,27708,52.0945,641.0,641.0,95.19,39.08,64.69,94.81,0.66,40.52,2.69,67.78,6.51,23,626,0,5.05,BASELINE,44.065
45066,CALIBRATION,27649,-53.2048,641.0,641.0,95.31,37.98,63.05,94.83,0.66,40.45,2.66,67.63,6.43,25,651,0,6.05,BASELINE,45.066
46067,CALIBRATION,27744,60.3127,640.0,640.0,95.25,37.27,61.78,94.85,0.65,40.34,2.67,67.43,6.39,26,676,0,7.05,BASELINE,46.067
47067,CALIBRATION,27702,-18.7664,600.0,600.0,95.35,36.37,59.97,94.87,0.64,40.2,2.71,67.18,6.41,28,701,0,8.05,BASELINE,47.067
48068,CALIBRATION,27662,13.4431,600.0,600.0,95.44,35.58,58.86,94.88,0.64,40.06,2.78,66.92,6.45,30,726,0,9.05,BASELINE,48.068
49069,CALIBRATION,27684,-46.0735,600.0,600.0,95.44,35.58,58.86,94.9,0.63,39.91,2.85,66.65,6.51,30,751,0,10.05,BASELINE,49.069
50070,CALIBRATION,27658,-54.2577,1881.0,,95.44,35.58,58.86,94.92,0.63,39.77,2.9,66.4,6.55,30,776,0,11.05,BASELINE,50.07
51070,CALIBRATION,27694,43.4026,320.0,,95.44,35.58,58.91,94.93,0.63,39.64,2.95,66.16,6.58,30,801,0,12.05,BASELINE,51.07
52071,CALIBRATION,27665,-27.9504,881.0,,95.44,35.58,58.91,94.95,0.62,39.51,2.99,65.94,6.59,30,826,0,13.05,BASELINE,52.071
53072,CALIBRATION,27606,8.8352,641.0,641.0,95.44,34.03,55.13,94.97,0.62,39.37,3.06,65.69,6.66,30,851,0,14.05,BASELINE,53.072
54073,CALIBRATION,27800,67.0076,640.0,640.0,95.64,32.71,53.14,94.98,0.62,39.2,3.18,65.36,6.84,30,876,0,15.05,BASELINE,54.073
55073,CALIBRATION,27728,-46.5159,561.0,561.0,95.85,34.58,55.13,95.01,0.63,39.07,3.23,65.07,6.96,30,901,0,16.05,BASELINE,55.073
56074,CALIBRATION,27790,35.7049,1321.0,,95.85,34.58,55.13,95.03,0.64,38.95,3.27,64.8,7.05,30,926,0,17.05,BASELINE,56.074
57075,CALIBRATION,27784,-10.4108,601.0,601.0,96.26,29.7,47.93,95.05,0.64,38.78,3.4,64.44,7.31,30,951,0,18.06,BASELINE,57.075
58076,CALIBRATION,27768,-56.707,600.0,600.0,96.26,29.7,47.35,95.08,0.66,38.55,3.65,64.0,7.7,30,976,0,19.06,BASELINE,58.076
59077,CALIBRATION,27851,-1.4586,1161.0,,96.26,29.7,47.35,95.11,0.68,38.33,3.86,63.59,8.04,30,1001,0,20.06,BASELINE,59.077
60077,CALIBRATION,27717,-114.4563,560.0,560.0,96.26,33.29,53.56,95.14,0.69,38.17,3.94,63.27,8.19,30,1026,0,21.06,BASELINE,60.077
61078,CALIBRATION,27534,-76.3167,560.0,560.0,96.26,33.29,53.56,95.16,0.7,38.06,3.96,63.04,8.23,30,1051,0,22.06,BASELINE,61.078
62079,CALIBRATION,27674,46.2116,560.0,560.0,96.26,33.29,53.56,95.19,0.71,37.95,3.98,62.82,8.26,30,1076,0,23.06,BASELINE,62.079
63079,CALIBRATION,27704,52.4037,600.0,600.0,96.46,33.4,53.58,95.21,0.72,37.84,4.0,62.61,8.28,30,1101,0,24.06,BASELINE,63.079
64080,CALIBRATION,27697,28.791,641.0,641.0,96.26,33.34,54.12,95.24,0.74,37.74,4.01,62.42,8.29,30,1126,0,25.06,BASELINE,64.08
65081,MONITORING,27644,-33.4244,601.0,601.0,96.05,33.14,54.04,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,26.06,MONITORING,65.081
66082,MONITORING,27716,104.4486,561.0,561.0,96.46,34.96,57.94,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,27.06,MONITORING,66.082
67083,MONITORING,27688,-40.394,561.0,561.0,96.46,34.96,57.94,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,28.06,MONITORING,67.083
68083,MONITORING,27640,-55.0461,561.0,561.0,96.46,34.96,57.94,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,29.06,MONITORING,68.083
69084,MONITORING,27795,91.5932,2562.0,,96.46,34.96,57.94,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,30.06,MONITORING,69.084
70085,MONITORING,27643,-57.7066,560.0,560.0,96.67,36.57,57.94,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,31.07,MONITORING,70.085
71086,MONITORING,27568,10.5892,1922.0,,96.67,36.57,57.94,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,32.07,MONITORING,71.086
72087,MONITORING,27717,58.813,360.0,,96.67,36.57,57.94,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,33.07,MONITORING,72.087
73087,MONITORING,27584,-71.9513,560.0,560.0,96.87,38.03,57.43,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,34.07,MONITORING,73.087
74088,MONITORING,27695,26.0495,681.0,681.0,96.66,39.51,61.67,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,35.07,MONITORING,74.088
75089,MONITORING,27673,-0.697,601.0,601.0,96.45,38.0,55.88,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,36.07,MONITORING,75.089
76090,MONITORING,27532,2.4566,521.0,521.0,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,37.07,MONITORING,76.09
77091,MONITORING,27524,-68.3025,521.0,521.0,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,38.07,MONITORING,77.091
78091,MONITORING,27615,-94.9732,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,39.07,MONITORING,78.091
79092,MONITORING,27252,-94.0119,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,0,40.07,MONITORING,79.092
80093,NO_FINGER,146,-12608.502,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,17,41.07,NO_FINGER,80.093
81094,NO_FINGER,135,1408.8037,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,42,42.07,NO_FINGER,81.094
82095,NO_FINGER,132,5556.0947,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,67,43.08,NO_FINGER,82.095
83095,NO_FINGER,131,4956.2563,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,92,44.08,NO_FINGER,83.095
84096,NO_FINGER,133,3005.0415,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,117,45.08,NO_FINGER,84.096
85097,NO_FINGER,135,1296.4473,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,142,46.08,NO_FINGER,85.097
86098,NO_FINGER,128,272.9072,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,167,47.08,NO_FINGER,86.098
87099,NO_FINGER,127,-160.2901,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,192,48.08,NO_FINGER,87.099
88099,NO_FINGER,133,-243.6684,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,217,49.08,NO_FINGER,88.099
