time_ms,mode,ir_raw,filtered_ppg,ibi_ms,valid_ibi_ms,mean_hr,sdnn,rmssd,baseline_mean_hr_mean,baseline_mean_hr_std,baseline_sdnn_mean,baseline_sdnn_std,baseline_rmssd_mean,baseline_rmssd_std,ibi_count,baseline_count,no_finger_count,pc_elapsed_sec,analysis_mode,time_sec
89100,NO_FINGER,136,-184.0739,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,242,50.08,NO_FINGER,89.1
90101,NO_FINGER,132,-102.6999,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,267,51.08,NO_FINGER,90.101
91102,NO_FINGER,129,-40.766,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,292,52.08,NO_FINGER,91.102
92102,NO_FINGER,133,-3.6213,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,317,53.08,NO_FINGER,92.102
93103,NO_FINGER,132,10.3514,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,342,54.08,NO_FINGER,93.103
94104,NO_FINGER,132,12.7747,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,367,55.08,NO_FINGER,94.104
95105,NO_FINGER,133,7.105,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,392,56.09,NO_FINGER,95.105
96106,NO_FINGER,129,0.9828,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,417,57.09,NO_FINGER,96.106
97107,NO_FINGER,130,-0.9451,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,442,58.09,NO_FINGER,97.107
98107,NO_FINGER,131,0.2642,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,467,59.09,NO_FINGER,98.107
99108,NO_FINGER,136,2.4958,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,492,60.09,NO_FINGER,99.108
100109,NO_FINGER,135,0.2729,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,517,61.09,NO_FINGER,100.109
101110,NO_FINGER,128,-4.2341,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,542,62.09,NO_FINGER,101.11
102111,NO_FINGER,132,-1.7429,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,567,63.09,NO_FINGER,102.111
103111,NO_FINGER,135,1.1192,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,592,64.09,NO_FINGER,103.111
104112,NO_FINGER,134,2.4668,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,617,65.09,NO_FINGER,104.112
105113,NO_FINGER,132,0.1496,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,642,66.09,NO_FINGER,105.113
106114,NO_FINGER,132,-3.0476,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,667,67.09,NO_FINGER,106.114
107114,NO_FINGER,130,-0.0962,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,692,68.09,NO_FINGER,107.114
108115,NO_FINGER,134,2.9583,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,717,69.09,NO_FINGER,108.115
109116,NO_FINGER,131,-0.4308,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,742,70.09,NO_FINGER,109.116
110117,NO_FINGER,131,-1.958,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,767,71.1,NO_FINGER,110.117
111117,NO_FINGER,134,2.021,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,792,72.1,NO_FINGER,111.117
112118,NO_FINGER,132,2.1617,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,817,73.1,NO_FINGER,112.118
113119,NO_FINGER,132,0.0364,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,842,74.1,NO_FINGER,113.119
114120,NO_FINGER,130,-3.0358,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,867,75.1,NO_FINGER,114.12
115121,NO_FINGER,130,-1.8547,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,892,76.1,NO_FINGER,115.121
116121,NO_FINGER,130,0.3391,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,917,77.1,NO_FINGER,116.121
117122,NO_FINGER,133,2.9785,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,942,78.1,NO_FINGER,117.122
118123,NO_FINGER,133,0.3212,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,967,79.1,NO_FINGER,118.123
119124,NO_FINGER,130,-2.0302,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,992,80.1,NO_FINGER,119.124
120125,NO_FINGER,129,-2.0555,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1017,81.1,NO_FINGER,120.125
121125,NO_FINGER,130,-0.6826,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1042,82.1,NO_FINGER,121.125
122126,NO_FINGER,131,1.2432,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1067,83.11,NO_FINGER,122.126
123127,NO_FINGER,135,2.832,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1092,84.11,NO_FINGER,123.127
124128,NO_FINGER,133,1.574,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1117,85.11,NO_FINGER,124.128
125129,NO_FINGER,132,-1.7859,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1142,86.11,NO_FINGER,125.129
126130,NO_FINGER,128,-2.4369,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1167,87.11,NO_FINGER,126.13
127130,NO_FINGER,130,0.6118,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1192,88.11,NO_FINGER,127.13
128131,NO_FINGER,133,2.4689,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1217,89.11,NO_FINGER,128.131
129132,NO_FINGER,135,2.2859,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1242,90.11,NO_FINGER,129.132
130133,NO_FINGER,133,-1.7561,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1267,91.11,NO_FINGER,130.133
131134,NO_FINGER,129,-1.2674,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1292,92.11,NO_FINGER,131.134
132135,NO_FINGER,128,-2.0886,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1317,93.11,NO_FINGER,132.135
133135,NO_FINGER,130,-0.5497,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1342,94.11,NO_FINGER,133.135
134136,NO_FINGER,131,1.3637,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1367,95.12,NO_FINGER,134.136
135137,NO_FINGER,135,2.7185,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1392,96.12,NO_FINGER,135.137
136138,NO_FINGER,132,1.1978,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1417,97.12,NO_FINGER,136.138
137139,NO_FINGER,131,-1.5821,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1442,98.12,NO_FINGER,137.139
138140,NO_FINGER,130,-3.8621,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1467,99.12,NO_FINGER,138.14
139141,NO_FINGER,130,-2.11,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1492,100.12,NO_FINGER,139.141
140141,NO_FINGER,130,-0.0211,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1517,101.12,NO_FINGER,140.141
141142,NO_FINGER,132,1.8841,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1542,102.12,NO_FINGER,141.142
142143,NO_FINGER,134,2.057,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1567,103.12,NO_FINGER,142.143
143144,NO_FINGER,133,0.9223,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1592,104.12,NO_FINGER,143.144
144145,NO_FINGER,130,-2.1452,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1617,105.12,NO_FINGER,144.145
145146,NO_FINGER,131,-2.2982,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1642,106.12,NO_FINGER,145.146
146146,NO_FINGER,129,-1.0481,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1667,107.12,NO_FINGER,146.146
147147,NO_FINGER,131,-0.132,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1692,108.13,NO_FINGER,147.147
148148,NO_FINGER,134,3.165,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1717,109.13,NO_FINGER,148.148
149149,NO_FINGER,133,-0.5409,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1742,110.13,NO_FINGER,149.149
150150,NO_FINGER,130,-2.3943,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1767,111.13,NO_FINGER,150.15
151151,NO_FINGER,128,-2.013,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1792,112.13,NO_FINGER,151.151
152151,NO_FINGER,132,0.6379,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1817,113.13,NO_FINGER,152.151
153152,NO_FINGER,133,2.688,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1842,114.13,NO_FINGER,153.152
154153,NO_FINGER,135,0.3811,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1867,115.13,NO_FINGER,154.153
155154,NO_FINGER,129,-2.5409,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1892,116.13,NO_FINGER,155.154
156155,NO_FINGER,126,-2.3225,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1917,117.13,NO_FINGER,156.155
157155,NO_FINGER,132,1.1414,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1942,118.13,NO_FINGER,157.155
158156,NO_FINGER,133,3.2675,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1967,119.13,NO_FINGER,158.156
159157,NO_FINGER,136,0.8378,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,1992,120.13,NO_FINGER,159.157
160158,NO_FINGER,130,-0.0221,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2017,121.14,NO_FINGER,160.158
161159,NO_FINGER,127,-3.0939,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2042,122.14,NO_FINGER,161.159
162159,NO_FINGER,131,-1.1301,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2067,123.14,NO_FINGER,162.159
163160,NO_FINGER,133,1.0644,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2092,124.14,NO_FINGER,163.16
164161,NO_FINGER,133,2.2783,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2117,125.14,NO_FINGER,164.161
165162,NO_FINGER,131,-1.6229,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2142,126.14,NO_FINGER,165.162
166163,NO_FINGER,129,-2.6198,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2167,127.14,NO_FINGER,166.163
167163,NO_FINGER,131,-0.9263,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2192,128.14,NO_FINGER,167.163
168164,NO_FINGER,132,2.6842,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2217,129.14,NO_FINGER,168.164
169165,NO_FINGER,132,0.8744,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2242,130.14,NO_FINGER,169.165
170166,NO_FINGER,126,-2.7152,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2267,131.14,NO_FINGER,170.166
171166,NO_FINGER,130,-0.8491,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2292,132.14,NO_FINGER,171.166
172167,NO_FINGER,133,2.465,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2317,133.15,NO_FINGER,172.167
173168,NO_FINGER,131,0.3137,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2342,134.15,NO_FINGER,173.168
174169,NO_FINGER,129,-2.5532,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2367,135.15,NO_FINGER,174.169
175169,NO_FINGER,128,-1.8593,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2392,136.15,NO_FINGER,175.169
176170,NO_FINGER,132,1.2327,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2417,137.15,NO_FINGER,176.17
177171,NO_FINGER,135,3.0207,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2442,138.15,NO_FINGER,177.171
178172,NO_FINGER,133,-1.5627,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2467,139.15,NO_FINGER,178.172
179173,NO_FINGER,129,-1.5742,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2492,140.15,NO_FINGER,179.173
180173,NO_FINGER,131,0.3863,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2517,141.15,NO_FINGER,180.173
181174,NO_FINGER,133,1.8186,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2542,142.15,NO_FINGER,181.174
182175,NO_FINGER,133,1.6087,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2567,143.15,NO_FINGER,182.175
183176,NO_FINGER,128,-1.0108,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2592,144.15,NO_FINGER,183.176
184177,NO_FINGER,128,-2.1476,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2617,145.15,NO_FINGER,184.177
185177,NO_FINGER,130,1.2334,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2642,146.15,NO_FINGER,185.177
186178,NO_FINGER,132,2.3037,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2667,147.16,NO_FINGER,186.178
187179,NO_FINGER,131,-1.1764,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2692,148.16,NO_FINGER,187.179
188180,NO_FINGER,129,-1.4395,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2717,149.16,NO_FINGER,188.18
189180,NO_FINGER,129,-0.7753,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2742,150.16,NO_FINGER,189.18
190181,NO_FINGER,134,2.2537,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2767,151.16,NO_FINGER,190.181
191182,NO_FINGER,134,-0.3938,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2792,152.16,NO_FINGER,191.182
192183,NO_FINGER,127,-3.5934,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2817,153.16,NO_FINGER,192.183
193183,NO_FINGER,132,0.4403,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2842,154.16,NO_FINGER,193.183
194184,NO_FINGER,133,2.148,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2867,155.16,NO_FINGER,194.184
195185,NO_FINGER,131,-0.8651,1921.0,,97.33,40.15,59.41,95.26,0.74,37.65,4.02,62.26,8.29,30,1148,2892,156.16,NO_FINGER,195.185
