time_ms,mode,ir_raw,filtered_ppg,ibi_ms,valid_ibi_ms,mean_hr,sdnn,rmssd,baseline_mean_hr_mean,baseline_mean_hr_std,baseline_sdnn_mean,baseline_sdnn_std,baseline_rmssd_mean,baseline_rmssd_std,ibi_count,baseline_count,no_finger_count,pc_elapsed_sec,analysis_mode,time_sec
13042,CALIBRATION,94661,22595.6699,481.0,481.0,,,,,,,,,,1,0,114,0.0,BASELINE,13.042
14043,CALIBRATION,94742,-4367.2222,481.0,481.0,,,,,,,,,,1,0,114,0.0,BASELINE,14.043
15044,CALIBRATION,94348,-11890.2832,481.0,481.0,,,,,,,,,,1,0,114,0.8,BASELINE,15.044
16045,CALIBRATION,93832,-10111.5332,481.0,481.0,,,,,,,,,,1,0,114,1.8,BASELINE,16.045
17045,CALIBRATION,94076,-5701.1196,481.0,481.0,,,,,,,,,,1,0,114,2.8,BASELINE,17.045
18046,CALIBRATION,93819,-2421.8569,481.0,481.0,,,,,,,,,,1,0,114,3.8,BASELINE,18.046
19047,CALIBRATION,93896,-305.7982,481.0,481.0,,,,,,,,,,1,0,114,4.8,BASELINE,19.047
20048,CALIBRATION,93962,483.0994,481.0,481.0,,,,,,,,,,1,0,114,5.8,BASELINE,20.048
21049,CALIBRATION,93737,530.5037,481.0,481.0,,,,,,,,,,1,0,114,6.8,BASELINE,21.049
22050,CALIBRATION,93763,336.6129,481.0,481.0,,,,,,,,,,1,0,114,7.81,BASELINE,22.05
23050,CALIBRATION,93815,200.7839,481.0,481.0,,,,,,,,,,1,0,114,8.81,BASELINE,23.05
24051,CALIBRATION,93700,29.6676,481.0,481.0,,,,,,,,,,1,0,114,9.81,BASELINE,24.051
25052,CALIBRATION,93594,-64.262,481.0,481.0,,,,,,,,,,1,0,114,10.81,BASELINE,25.052
26053,CALIBRATION,93409,41.0737,481.0,481.0,,,,,,,,,,1,0,114,11.81,BASELINE,26.053
27054,CALIBRATION,93582,42.8268,481.0,481.0,,,,,,,,,,1,0,114,12.81,BASELINE,27.054
28055,CALIBRATION,93457,62.9517,481.0,481.0,,,,,,,,,,1,0,114,13.81,BASELINE,28.055
29055,CALIBRATION,93689,139.1253,481.0,481.0,,,,,,,,,,1,0,114,14.81,BASELINE,29.055
30056,CALIBRATION,93525,0.8291,481.0,481.0,,,,,,,,,,1,0,114,15.81,BASELINE,30.056
31057,CALIBRATION,93672,53.5689,481.0,481.0,,,,,,,,,,1,0,114,16.81,BASELINE,31.057
32058,CALIBRATION,93667,-39.7503,481.0,481.0,,,,,,,,,,1,0,114,17.81,BASELINE,32.058
33059,CALIBRATION,93597,-34.86,481.0,481.0,,,,,,,,,,1,0,114,18.81,BASELINE,33.059
34059,CALIBRATION,93608,-32.5906,481.0,481.0,,,,,,,,,,1,0,114,19.81,BASELINE,34.059
35060,CALIBRATION,93480,-29.5991,481.0,481.0,,,,,,,,,,1,0,114,20.81,BASELINE,35.06
36061,CALIBRATION,93437,-34.5551,481.0,481.0,,,,,,,,,,1,0,114,21.82,BASELINE,36.061
37062,CALIBRATION,93263,-63.0921,481.0,481.0,,,,,,,,,,1,0,114,22.82,BASELINE,37.062
38063,CALIBRATION,93448,102.291,25340.0,,,,,,,,,,,1,0,114,23.82,BASELINE,38.063
39063,CALIBRATION,93366,14.2106,640.0,640.0,,,,,,,,,,3,0,114,24.82,BASELINE,39.063
40064,CALIBRATION,93523,121.8202,681.0,681.0,,,,,,,,,,4,0,114,25.82,BASELINE,40.064
41065,CALIBRATION,93487,-18.0143,681.0,681.0,95.64,78.49,59.34,96.82,0.77,81.46,1.95,64.3,3.25,6,24,114,26.82,BASELINE,41.065
42066,CALIBRATION,93582,40.1911,640.0,640.0,95.37,71.81,56.69,96.13,0.87,77.76,4.53,60.9,4.15,7,49,114,27.82,BASELINE,42.066
43067,CALIBRATION,93528,-61.965,680.0,680.0,93.67,66.18,51.19,95.49,1.17,74.56,5.88,58.51,4.86,9,74,114,28.83,BASELINE,43.067
44067,CALIBRATION,93561,-25.9132,681.0,681.0,93.08,63.7,48.27,94.94,1.39,72.07,6.68,56.22,5.82,10,99,114,29.83,BASELINE,44.067
45068,CALIBRATION,93524,-49.9859,1321.0,,93.08,63.7,48.27,94.57,1.45,70.38,6.85,54.62,6.1,10,124,114,30.83,BASELINE,45.068
46069,CALIBRATION,93648,63.5864,641.0,641.0,93.13,60.44,47.51,94.32,1.43,68.91,7.09,53.47,6.13,11,149,114,31.83,BASELINE,46.069
47070,CALIBRATION,93535,-50.7893,681.0,681.0,92.33,56.82,44.81,94.08,1.46,67.36,7.58,52.43,6.22,13,174,114,32.83,BASELINE,47.07
48071,CALIBRATION,93584,15.8311,640.0,640.0,92.43,54.66,44.52,93.86,1.47,65.86,8.13,51.45,6.36,14,199,114,33.83,BASELINE,48.071
49072,CALIBRATION,93538,-22.5802,640.0,640.0,92.23,51.58,44.07,93.68,1.49,64.41,8.7,50.65,6.42,16,224,114,34.83,BASELINE,49.072
50072,CALIBRATION,93545,51.067,681.0,681.0,91.97,50.48,43.88,93.51,1.49,63.05,9.2,49.97,6.41,17,249,114,35.83,BASELINE,50.072
51073,CALIBRATION,93453,-78.7535,633.0,633.0,92.15,47.81,42.25,93.38,1.48,61.73,9.72,49.33,6.44,19,274,114,36.83,BASELINE,51.073
52074,CALIBRATION,93383,70.3508,633.0,633.0,92.15,47.81,42.25,93.28,1.46,60.56,10.07,48.74,6.47,19,299,114,37.83,BASELINE,52.074
53075,CALIBRATION,93461,5.5641,632.0,632.0,92.29,46.73,41.12,93.2,1.43,59.55,10.29,48.21,6.48,20,324,114,38.83,BASELINE,53.075
54075,CALIBRATION,93458,107.2542,641.0,641.0,92.35,45.59,40.13,93.13,1.4,58.57,10.52,47.65,6.56,21,349,114,39.83,BASELINE,54.075
55076,CALIBRATION,93407,-56.2472,673.0,673.0,91.72,46.61,44.11,93.04,1.39,57.81,10.55,47.39,6.42,23,374,114,40.83,BASELINE,55.076
56077,CALIBRATION,93519,95.3909,681.0,681.0,91.57,45.91,43.17,92.96,1.39,57.08,10.6,47.14,6.28,24,399,114,41.84,BASELINE,56.077
