8602,97339
8612,97471
8622,97592
8632,97690
8643,97763
8653,97824
8663,97875
8673,97916
8683,97948
8693,97978
8703,98000
8713,98021
8723,98039
8733,98054
8743,98078
8754,98093
8764,98107
8774,98120
8784,98126
8794,98126
8805,98129
8815,98132
8825,98133
8835,98141
8845,98144
8855,98157
8865,98161
8876,98171
8886,98175
8896,98177
8906,98178
8916,98178
8926,98184
8936,98173
8946,98169
8956,98156
8966,98150
8977,98143
8987,98136
8997,98137
9007,98142
9018,98144
9028,98150
9038,98151
9048,98161
9058,98162
9068,98167
9078,98170
9089,98166
9099,98162
9109,98159
9119,98149
9129,98140
9139,98115
9149,98066
9159,98003
9169,97914
9179,97809
9189,97691
9200,97568
9210,97473
9220,97412
9231,97391
9241,97405
9251,97442
9261,97492
9271,97547
9281,97594
9291,97641
9301,97675
9311,97702
9322,97720
9332,97738
9342,97750
9352,97771
9362,97785
9372,97803
9382,97817
9392,97826
9402,97827
9412,97826
9422,97827
9432,97826
9443,97812
9454,97793
9464,97779
9474,97775
9484,97774
9494,97780
9504,97788
9514,97806
9524,97820
9534,97832
9545,97840
9554,97852
9565,97856
9575,97861
9585,97867
9595,97874
9605,97885
9615,97898
9625,97909
9635,97913
9645,97927
9655,97939
9666,97945
9677,97954
9687,97970
9697,97978
9707,97987
9717,97998
9727,98009
9737,98013
9747,98013
9757,98002
9767,97967
9777,97900
9787,97803
9798,97658
9808,97479
9818,97303
9828,97166
9838,97079
9848,97030
9858,97003
9868,97003
9879,97020
9889,97048
9899,97074
9909,97105
9920,97136
9930,97169
9940,97208
9950,97241
9960,97278
9970,97316
9980,97352
9990,97373
10000,97392
10010,97384
10020,97381
10030,97380
10041,97368
10051,97348
10061,97316
10071,97270
10081,97234
10091,97200
10102,97185
10112,97190
10122,97193
10132,97214
10142,97236
10152,97266
10163,97295
10173,97327
10183,97364
10193,97400
10203,97434
10213,97467
10223,97494
10233,97532
10243,97556
10253,97585
10263,97607
10273,97639
10283,97664
10294,97681
10304,97705
10314,97724
10325,97744
10335,97766
10345,97784
10355,97795
10365,97796
10375,97766
10385,97678
10395,97553
10405,97360
10416,97166
10426,97007
10436,96899
10446,96834
