4176,89557
4186,89577
4196,89605
4206,89635
4217,89657
4227,89671
4237,89659
4247,89582
4257,89413
4267,89135
4277,88771
4287,88356
4297,87911
4308,87465
4318,87053
4328,86728
4339,86511
4349,86387
4359,86326
4369,86305
4379,86309
4389,86335
4399,86358
4409,86379
4419,86409
4430,86432
4440,86444
4450,86452
4460,86477
4470,86513
4480,86572
4490,86644
4500,86719
4510,86790
4520,86850
4530,86902
4541,86930
4551,86944
4562,86946
4572,86947
4582,86937
4592,86930
4602,86920
4612,86913
4622,86907
4632,86909
4643,86926
4653,86945
4663,86977
4673,87005
4683,87050
4693,87089
4703,87137
4713,87180
4723,87228
4733,87277
4744,87326
4753,87370
4765,87415
4775,87454
4785,87499
4795,87532
4805,87566
4815,87614
4825,87651
4835,87704
4845,87756
4855,87812
4866,87870
4876,87927
4886,87984
4896,88047
4906,88119
4916,88179
4926,88240
4936,88302
4946,88354
4956,88411
4966,88467
4977,88529
4988,88579
4998,88594
5008,88548
5018,88388
5028,88127
5038,87777
5048,87377
5058,86974
5068,86625
5078,86352
5088,86163
5099,86050
5109,85981
5119,85928
5129,85894
5139,85889
5149,85888
5159,85903
5169,85929
5179,85963
5189,85997
5201,86030
5211,86063
5221,86107
5231,86163
5241,86238
5251,86324
5261,86423
5271,86513
5281,86601
5291,86662
5301,86721
5312,86767
5322,86801
5332,86828
5342,86836
5352,86842
5362,86836
5372,86828
5382,86824
5392,86831
5402,86851
5413,86891
5423,86940
5434,86999
5444,87059
5454,87118
5464,87179
5474,87240
5484,87305
5494,87365
5504,87432
5514,87493
5524,87556
5534,87611
5545,87660
5555,87699
5565,87737
5575,87772
5585,87803
5595,87839
5605,87887
5615,87939
5626,87989
5636,88047
5646,88113
5657,88184
5667,88250
5677,88319
5687,88381
5697,88443
5707,88509
5717,88562
5727,88620
5737,88684
5747,88755
5757,88823
5767,88902
5777,88975
5788,89030
5798,89008
5808,88882
5818,88658
5828,88358
5839,88003
5849,87615
5859,87246
5869,86931
5879,86690
5890,86551
5900,86489
5910,86480
5920,86499
5930,86540
5940,86594
5950,86649
5960,86702
5970,86740
5980,86772
5990,86798
6000,86824
6010,86856
6021,86892
6031,86952
6041,87022
6052,87101
6062,87182
6072,87254
6082,87312
6092,87363
6102,87396
6112,87429
6122,87447
6133,87463
6143,87463
6153,87456
6163,87451
6173,87443
6183,87446
6193,87461
6203,87489
6213,87514
6223,87558
6233,87599
6243,87645
6254,87697
6265,87747
6275,87816
6285,87877
6295,87938
6305,88006
6315,88066
6325,88121
6335,88180
6345,88234
6355,88286
6366,88341
6376,88399
6386,88464
6396,88524
6406,88582
6416,88652
6426,88726
6436,88799
6446,88873
6456,88938
6466,89010
6477,89079
6488,89137
6498,89193
6508,89236
6518,89280
6528,89323
6538,89371
6548,89415
6558,89470
6568,89523
6578,89578
6588,89625
6599,89641
6609,89595
6619,89436
6629,89165
6639,88814
6649,88413
6659,88002
6669,87619
6679,87272
6690,86999
6700,86807
6710,86704
6721,86666
6731,86665
6741,86684
6751,86714
6761,86764
6771,86812
6781,86867
6791,86926
6801,86977
6811,87024
6821,87080
6832,87141
6842,87217
6852,87309
6862,87400
6872,87491
6882,87570
6892,87636
6903,87691
6913,87735
6923,87758
6934,87768
6944,87781
6954,87776
6964,87784
6974,87785
6984,87794
6994,87815
7004,87836
7014,87862
7024,87901
7034,87943
7045,87992
7055,88044
7065,88090
7075,88150
7085,88200
7095,88258
7105,88315
7116,88373
7126,88435
7136,88497
7146,88566
7157,88629
7167,88689
7177,88744
7187,88803
7197,88864
7207,88930
7217,88991
7227,89044
7237,89102
7247,89160
7257,89224
7267,89280
7278,89332
7288,89378
7298,89432
7308,89471
7318,89504
7329,89544
7339,89584
7349,89629
7359,89671
7369,89718
7379,89771
7390,89817
7400,89858
7410,89895
7420,89924
7430,89905
7440,89799
7450,89576
7460,89253
7470,88868
7480,88451
7490,88049
7501,87671
7511,87357
7521,87122
7531,86981
7542,86937
7552,86951
7562,87008
7572,87092
7582,87199
7592,87302
7602,87410
7612,87510
7623,87598
7633,87672
7643,87745
7653,87821
7663,87903
7673,87990
7683,88089
7693,88178
7703,88250
7713,88304
7724,88342
7734,88367
7744,88381
7755,88392
7765,88391
7775,88388
7785,88400
7795,88423
7805,88452
7815,88486
7825,88531
7836,88587
7846,88646
7856,88708
7866,88772
7876,88832
7886,88901
7896,88966
7906,89039
7916,89116
7926,89197
7936,89283
7947,89358
7958,89430
7968,89506
7978,89570
7988,89630
7998,89689
8008,89750
8018,89809
8028,89873
8038,89947
8048,90029
8059,90122
8068,90224
8079,90321
8089,90414
8099,90511
8109,90596
8119,90683
8129,90763
8139,90838
8149,90907
8159,90983
8170,91059
8181,91146
8191,91234
8201,91324
8211,91412
8221,91499
8231,91585
8241,91667
8251,91744
8261,91806
8271,91800
8281,91663
8292,91366
8302,90981
8312,90602
8322,90221
8332,89853
8342,89508
8352,89217
8362,88996
8372,88840
8383,88749
8393,88705
8403,88686
8414,88699
8424,88738
8434,88789
8444,88865
8454,88947
8464,89034
8474,89119
8484,89210
8494,89322
8504,89444
8514,89583
8524,89729
8535,89868
8545,90006
8555,90118
8565,90210
8575,90289
8585,90350
8596,90396
8606,90432
8616,90460
8626,90480
8636,90499
8647,90517
8657,90541
8667,90561
8677,90587
8687,90605
8697,90636
8707,90669
8717,90709
8727,90755
8737,90801
8748,90859
8758,90922
8768,90991
8778,91057
8788,91139
8798,91231
8809,91334
8819,91462
8829,91644
8839,91855
8849,92080
8859,92308
8870,92481
8880,92505
8890,92564
8900,92654
8910,92746
8920,92835
8930,92930
8940,93028
8950,93128
8960,93218
8971,93302
8981,93390
8991,93477
9001,93555
9011,93633
9022,93707
9032,93783
9042,93862
9052,93945
9062,94029
9072,94114
9082,94197
9093,94258
9103,94241
9113,94071
9123,93709
9133,93178
9143,92609
9153,92054
9163,91655
9173,91450
9183,91360
9193,91310
9203,91271
9213,91293
9224,91335
9235,91398
9245,91483
9255,91571
9265,91654
9275,91725
9285,91790
9295,91848
9305,91901
9315,91963
9325,92023
9336,92081
9346,92135
9356,92172
9366,92188
9376,92186
9386,92161
9396,92113
9406,92039
9416,91955
9426,91865
9436,91769
9448,91664
9458,91558
9468,91452
9478,91344
9488,91254
9498,91162
9508,91071
9518,90993
9528,90932
9538,90846
9548,90741
9558,90616
9569,90480
9579,90331
9589,90195
9599,90053
9609,89926
9619,89828
9629,89746
9639,89682
9649,89632
9660,89598
9671,89584
9681,89586
9691,89598
9701,89601
9711,89599
9721,89604
9731,89615
9741,89642
9751,89674
9761,89717
9771,89767
9782,89814
9792,89866
9802,89924
9812,89970
9822,90012
9832,90055
9842,90096
9852,90142
9862,90198
9873,90257
9884,90280
9894,90227
9904,90068
9914,89839
9924,89567
9934,89267
9944,88966
9954,88682
9965,88451
9975,88285
9985,88204
9995,88215
10005,88275
10015,88381
10025,88517
10035,88667
10045,88832
10055,89005
10066,89184
10076,89368
10086,89550
10097,89748
10107,89948
10117,90139
10127,90319
10137,90474
10147,90610
10157,90724
10167,90820
10178,90902
10188,90964
10198,91011
10208,91052
10218,91074
10228,91096
10238,91125
10248,91155
10258,91194
10268,91238
10278,91293
10289,91354
10299,91425
10310,91491
10320,91559
10330,91628
10340,91698
10350,91790
10360,91921
10370,92020
10380,92139
10390,92299
10401,92458
10411,92600
10421,92729
10431,92844
10441,92955
10451,93057
10461,93149
10471,93238
10481,93316
10491,93399
10502,93481
10512,93555
10523,93628
10533,93695
10543,93756
10553,93817
10563,93880
10573,93939
10583,93997
10593,94054
10603,94112
10613,94157
10624,94203
10634,94219
10644,94188
10654,94016
10664,93656
10674,93108
10684,92474
10694,91841
10704,91358
10715,91098
10725,90961
10736,90891
10746,90863
10756,90853
10766,90865
10776,90895
10786,90943
10796,90994
10806,91054
10816,91126
10827,91195
10837,91262
10847,91337
10857,91424
10867,91526
10877,91645
10887,91762
10897,91862
10907,91946
10917,92008
10927,92057
10937,92095
10948,92112
10959,92112
10969,92089
10979,92071
10989,92060
10999,92054
11009,92053
11019,92062
11029,92076
11039,92094
11049,92130
11059,92173
11070,92217
11080,92263
11090,92304
11100,92336
11110,92358
11120,92377
11130,92402
11140,92418
11150,92444
11161,92464
11171,92491
11181,92517
11192,92553
11202,92595
11212,92635
11222,92688
11232,92729
11242,92779
11252,92813
11262,92849
11272,92883
11282,92909
11292,92941
11303,92967
11313,93002
11323,93047
11333,93089
11343,93138
11353,93187
11363,93247
11373,93297
11384,93356
11394,93390
11405,93370
11415,93201
11425,92812
11435,92249
11445,91672
11455,91273
11465,91035
11475,90883
11485,90777
11495,90701
11505,90639
11516,90604
11526,90576
11536,90558
11546,90535
11556,90498
11566,90450
11576,90400
11586,90347
11597,90292
11607,90259
11617,90241
11628,90235
11638,90255
11648,90312
11658,90380
11668,90460
11678,90530
11688,90587
11698,90633
11708,90662
11718,90680
11728,90689
11738,90690
11749,90689
11759,90685
11769,90682
11779,90690
11789,90708
11799,90728
11810,90752
11820,90779
11830,90803
11840,90820
11851,90847
11861,90895
11871,90952
11881,91019
11891,91094
11901,91166
11911,91235
11921,91301
11931,91371
11941,91444
11951,91520
11962,91591
11972,91659
11982,91726
11992,91793
12002,91853
12013,91919
12023,91978
12033,92038
12043,92099
12053,92157
12063,92215
12073,92259
12084,92313
12094,92358
12104,92400
12114,92450
12124,92504
12134,92553
12144,92591
12154,92630
12164,92608
12174,92468
12185,92124
12195,91647
12205,91206
12215,90895
12226,90670
12236,90493
12246,90345
12256,90233
12266,90134
12276,90047
12286,89968
12296,89913
12307,89877
12317,89855
12327,89841
12337,89839
12347,89852
12357,89873
12367,89910
12377,89960
12387,90013
12397,90086
12407,90183
12418,90291
12428,90402
12439,90513
12449,90609
12459,90696
12469,90763
12479,90824
12489,90865
12499,90891
12509,90913
12519,90917
12529,90917
12540,90909
12550,90899
12560,90888
12570,90881
12580,90865
12590,90835
12600,90796
12610,90755
12620,90739
12630,90728
12640,90748
12652,90775
12662,90815
12672,90858
12682,90914
12692,90972
12702,91036
12712,91098
12722,91158
12732,91223
12742,91292
12752,91364
12762,91439
12773,91516
12783,91593
12793,91663
12803,91719
12813,91775
12823,91808
12833,91840
12843,91867
12853,91895
12864,91923
12874,91949
12885,91979
12895,92009
12905,92050
12915,92096
12925,92144
12935,92180
12945,92152
12955,91974
12965,91628
12975,91189
12985,90834
12996,90553
