pc_time_iso,elapsed_pc_s,seq,missing_since_prev,total_missing_packets,mean_hr,final_ppg_stress_score,final_gsr_stress_score,integrated_stress_score,integrated_level_code,integrated_level,mode_code,mode,ppg_ready,gsr_ready,label_valid,measuring,raw_hex
2026-05-06T21:59:31.653,25.026,0,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:32.607,25.979,1,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,01 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:33.627,26.999,2,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,02 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:34.648,28.020,3,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,03 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:35.668,29.040,4,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,04 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:36.688,30.060,5,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,05 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:37.648,31.020,6,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,06 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:38.668,32.040,7,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,07 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:39.747,33.119,8,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,08 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:40.647,34.019,9,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,09 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:41.728,35.100,10,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,0a 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:42.748,36.120,11,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,0b 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:43.708,37.080,12,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,0c 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:44.727,38.099,13,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,0d 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-06T21:59:45.748,39.120,14,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,0e 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
2026-05-06T21:59:46.708,40.080,15,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,0f 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
2026-05-06T21:59:47.727,41.099,16,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,10 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
2026-05-06T21:59:48.748,42.120,17,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,11 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
2026-05-06T21:59:49.708,43.080,18,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,12 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
2026-05-06T21:59:50.727,44.100,19,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,13 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
