pc_time_iso,elapsed_pc_s,seq,missing_since_prev,total_missing_packets,mean_hr,final_ppg_stress_score,final_gsr_stress_score,integrated_stress_score,integrated_level_code,integrated_level,mode_code,mode,ppg_ready,gsr_ready,label_valid,measuring,raw_hex
2026-05-14T22:31:48.988,18.337,0,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:49.895,19.244,1,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,01 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:50.966,20.315,2,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,02 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:51.930,21.280,3,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,03 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:53.012,22.361,4,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,04 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:53.968,23.318,5,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,05 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:55.053,24.402,6,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,06 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:56.010,25.359,7,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,07 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:57.089,26.438,8,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,08 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:58.046,27.395,9,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,09 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:31:59.130,28.479,10,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,0a 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:32:00.091,29.440,11,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,0b 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-14T22:32:01.166,30.516,12,0,0,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,0c 00 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
