pc_time_iso,elapsed_pc_s,mean_hr,final_ppg_stress_score,final_gsr_stress_score,integrated_stress_score,integrated_level_code,integrated_level,mode_code,mode,ppg_ready,gsr_ready,label_valid,measuring,raw_hex
2026-05-05T09:12:28.310,10.562,73.487,24.503,52.249,38.376,2,Mild,3,REST,1,1,1,1,8a f9 92 42 b4 05 c4 41 70 ff 50 42 25 81 19 42 02 03 0f
2026-05-05T09:12:30.229,12.482,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:31.250,13.503,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:32.270,14.523,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:33.291,15.543,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:34.309,16.562,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:35.330,17.583,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:36.350,18.602,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:37.310,19.563,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:38.390,20.643,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:39.409,21.662,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:40.430,22.683,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:41.450,23.703,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:42.470,24.723,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:43.490,25.742,-1.000,-1.000,-1.000,-1.000,0,NONE,1,STABILIZING,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 01 08
2026-05-05T09:12:44.510,26.763,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
2026-05-05T09:12:45.530,27.783,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
2026-05-05T09:12:46.550,28.803,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
2026-05-05T09:12:47.571,29.824,-1.000,-1.000,-1.000,-1.000,0,NONE,2,CALIBRATION,0,0,0,1,00 00 80 bf 00 00 80 bf 00 00 80 bf 00 00 80 bf 00 02 08
